"selection1_item_names","selection1_release_date","selection1_date_of_stock","selection1_price","selection1_sales"
"HAN SEUNG WOO - Mini Album Vol.1 [Fame] (WOO ver.)","Release 2020-08-11","(Expected) Date of stock 2020-09-14","USD 12.93 USD 16.28","Sales 4,936"
"ONF - Mini Album Vol.5 [SPIN OFF]","Release 2020-08-11","(Expected) Date of stock 2020-08-19","USD 13.11 USD 16.28","Sales 704"
"[SET][3CD SET] HAN SEUNG WOO - Mini Album Vol.1 [Fame] (HAN ver + SEUNG ver. + WOO ver.)","Release 2020-08-11","(Expected) Date of stock 2020-08-10","USD 38.80 USD 48.82","Sales 347"
"Backstreet Rookie O.S.T - SBS Drama (Track list : Kang Daniel, APRIL, WJSN)","Release 2020-08-11","(Expected) Date of stock 2020-09-11","USD 19.45 USD 24.19","Sales 108"
"(Out Of Stock) Baek Ye Rin - Album Vol.1 [Every letter I sent you] LP (Normal Edition)","Release 2020-08-07","(Expected) Date of stock 2020-08-08","USD 47.86 USD 59.73","Sales 600"
"SUPER JUNIOR - SUPER JUNIOR WORLD TOUR [SUPER SHOW 8 : INFINITE TIME] Kit Video *Due to the built-in battery of the Khino album, only 1 item could be ordered and shipped at a time.","Release 2020-08-07","(Expected) Date of stock 2020-08-12","USD 37.12","Sales 7,941"
"(Out Of Stock) Sandeul - Album [My Little Thought Ep.01] (Limited Edition)","Release 2020-08-06","(Expected) Date of stock 2020-08-05","USD 14.96 USD 18.56","Sales 100"
"(Out Of Stock) CODE KUNST - Album Vol.4 [PEOPLE] (2LP)","Release 2020-08-05","(Expected) Date of stock 2020-08-05","USD 55.33 USD 70.90","Sales 130"
"DANGGISIO - EP Album [Last Dream]","Release 2020-08-05","(Expected) Date of stock 2020-08-18","USD 12.49 USD 16.28","Sales 1"
"Kyung Je Hwan - Album Vol.1 [[PARAN ALBUM] Part.1]","Release 2020-08-05","(Expected) Date of stock 2020-08-24","USD 12.93 USD 16.28","Sales 8"
"ROCKET PUNCH - Mini Album Vol.3 [BLUE PUNCH]","Release 2020-08-05","(Expected) Date of stock 2020-09-21","USD 12.67 USD 15.84","Sales 1,283"
"(G)I-DLE - Single Album [DUMDi DUMDi] (DAY Ver.) *Ktown4u Pre-order benefit","Release 2020-08-04","(Expected) Date of stock 2020-08-04","USD 13.11 USD 16.28","Sales 9,066"
"(G)I-DLE - Single Album [DUMDi DUMDi] (NIGHT Ver.) *Ktown4u Pre-order benefit","Release 2020-08-04","(Expected) Date of stock 2020-08-04","USD 13.11 USD 16.28","Sales 9,001"
"Kang Daniel - Mini Album Vol.2 [MAGENTA] (Random Ver.) *Different versions will be sent in case of purchasing 2 or more","Release 2020-08-04","(Expected) Date of stock 2020-08-19","USD 12.32 USD 15.31","Sales 114,449"
"KEEMBO - Single Album [99(GUGU)]","Release 2020-08-04","(Expected) Date of stock 2020-08-03","USD 6.87 USD 8.80","Sales 34"
"SATURDAY - Single Album Vol.4 [D.B.D.B.DIB]","Release 2020-08-04","(Expected) Date of stock 2020-08-04","USD 10.65 USD 13.73","Sales 287"
"S.I.S - Single Album Vol.4 [기다리지 말아요]","Release 2020-08-01","(Expected) Date of stock 2020-08-01","USD 10.65 USD 13.73","Sales 10"
"Eric Nam - Mini Album Vol.4 [The Other Side]","Release 2020-07-31","(Expected) Date of stock 2020-09-14","USD 13.81 USD 17.60","Sales 475"
"nokdu - Album [Mersey]","Release 2020-07-31","(Expected) Date of stock 2020-08-24","USD 9.77 USD 13.02","Sales 4"
"[PHOTOBOOK] CRAVITY - CRAVITY SUMMER PACKAGE ‘COME TOGETHER’ PLAY VER","Release 2020-07-31","(Expected) Date of stock 2020-08-08","USD 33.87","Sales 168"
"ATEEZ - Mini Album Vol.5 [ZERO : FEVER Part.1] (DIARY Ver) *Ktown4u Pre-order benefit : Selfie Photocard 1p","Release 2020-07-30","(Expected) Date of stock 2020-08-28","USD 12.58 USD 16.28","Sales 20,227"
"ATEEZ - Mini Album Vol.5 [ZERO : FEVER Part.1] (INCEPTION Ver) *Ktown4u Pre-order benefit : Selfie Photocard 1p","Release 2020-07-30","(Expected) Date of stock 2020-09-05","USD 12.58 USD 16.28","Sales 19,397"
"ATEEZ - Mini Album Vol.5 [ZERO : FEVER Part.1] (THANXX Ver) *Ktown4u Pre-order benefit : Selfie Photocard 1p","Release 2020-07-30","(Expected) Date of stock 2020-09-21","USD 12.58 USD 16.28","Sales 19,918"
"divin' - Album Vol.1 [RUN THE NEW PATH]","Release 2020-07-28","(Expected) Date of stock 2020-08-03","USD 11.62 USD 14.52","Sales 4"
"Yoon Doo Jun - Mini Album Vol.1 [Daybreak] (Break Ver.)","Release 2020-07-28","(Expected) Date of stock 2020-08-13","USD 15.57 USD 19.36","Sales 3,642"
"Yoon Doo Jun - Mini Album Vol.1 [Daybreak] (Day Ver.)","Release 2020-07-28","(Expected) Date of stock 2020-08-13","USD 15.57 USD 19.36","Sales 3,490"
"[SET][2CD SET] Yoon Doo Jun - Mini Album Vol.1 [Daybreak] (Day Ver. + Break Ver.)","Release 2020-07-28","(Expected) Date of stock 2020-07-27","USD 31.14 USD 38.71","Sales 74"
"My Unfamiliar Family O.S.T - tvN Drama (Track list : Victon)","Release 2020-07-22","(Expected) Date of stock 2020-09-11","USD 13.81 USD 17.77","Sales 13"
"(Out Of Stock) Pink fantasy - Signle Album Vol.4 [(Shadow Play] (White Ver.) (Limited Edition)","Release 2020-07-21","(Expected) Date of stock 2020-08-01","USD 15.75 USD 19.36","Sales 100"
"1THE9 - Mini Album Vol.3 [Turn Over]","Release 2020-07-18","(Expected) Date of stock 2020-08-14","USD 15.57 USD 19.36","Sales 269"
"Pink fantasy - Signle Album Vol.4 [(Shadow Play] (Black Ver.)","Release 2020-07-18","(Expected) Date of stock 2020-08-10","USD 11.00 USD 13.55","Sales 131"
"BLACKPINK - SPECIAL EDITION [How You Like That] *Ktown4u Pre-order benefit : Photocard 1set","Release 2020-07-17","(Expected) Date of stock 2020-09-14","USD 14.61 USD 19.53","Sales 20,450"
"Jung Eun Ji - Mini Album Vol.4 [Simple] (second press)","Release 2020-07-16","(Expected) Date of stock 2020-09-15","USD 11.62 USD 14.52","Sales 80"
"KIM SUNG KYU - SOLO CONCERT KIT VIDEO","Release 2020-07-16","(Expected) Date of stock 2020-07-15","USD 48.38","Sales 342"
"TOO - Mini Album Vol.2 [Running TOOgether]","Release 2020-07-16","(Expected) Date of stock 2020-09-15","USD 13.29 USD 16.98","Sales 901"
"[DVD] KIM SUNG KYU - SOLO CONCERT DVD","Release 2020-07-16","(Expected) Date of stock 2020-08-24","USD 39.59","Sales 625"
"Red Velvet : IRENE & SEULGI - Mini Album Vol.1 [Monster] (Base Note Ver.)","Release 2020-07-15","(Expected) Date of stock 2020-09-21","USD 11.62 USD 14.52","Sales 21,786"
"[SET][2CD SET] Jeong Se Woon - Album Vol.1 [<24> Part.1] (TO Ver. + FOR Ver.)","Release 2020-07-15","(Expected) Date of stock 2020-07-14","USD 28.68 USD 35.19","Sales 46"
"EXO-SC - Album Vol.1 [1 Billion Views] (Random Ver.)","Release 2020-07-14","(Expected) Date of stock 2020-09-07","USD 14.34 USD 17.60","Sales 43,435"
"GFRIEND - Album [回:Song of the Sirens] (A ver.) *Unable to apply for a signing event","Release 2020-07-14","(Expected) Date of stock 2020-07-13","USD 16.81 USD 20.94","Sales 9,717"
"GFRIEND - Album [回:Song of the Sirens] (B ver.) *Unable to apply for a signing event","Release 2020-07-14","(Expected) Date of stock 2020-07-13","USD 16.81 USD 20.94","Sales 8,871"
"GFRIEND - Album [回:Song of the Sirens] (T ver.) *Unable to apply for a signing event","Release 2020-07-14","(Expected) Date of stock 2020-07-13","USD 16.81 USD 20.94","Sales 8,234"
"Sik-K - Album [HEADRINER (Deluxe Edition)]","Release 2020-07-14","(Expected) Date of stock 2020-07-13","USD 13.81 USD 17.60","Sales 783"
"Dinner Mate O.S.T - MBC Drama","Release 2020-07-14","(Expected) Date of stock 2020-09-11","USD 11.26 USD 14.55","Sales 43"
"CHUNG HA - Single Album [MAXI SINGLE]","Release 2020-07-10","(Expected) Date of stock 2020-09-15","USD 11.35 USD 14.52","Sales 2,108"
"CIX - EP Album Vol.3 [HELLO Chapter 3. Hello, Strange Time] (Hello Ver.)","Release 2020-07-10","(Expected) Date of stock 2020-08-31","USD 13.73 USD 17.77","Sales 2,092"
"CIX - EP Album Vol.3 [HELLO Chapter 3. Hello, Strange Time] (Strange Time Ver.)","Release 2020-07-10","(Expected) Date of stock 2020-08-31","USD 13.73 USD 17.77","Sales 1,842"
"SHIN YONG JAE - Album Vol.1 [Dear]","Release 2020-07-10","(Expected) Date of stock 2020-07-09","USD 18.12 USD 22.61","Sales 3"
"VINXEN - Album [유사인간]","Release 2020-07-10","(Expected) Date of stock 2020-09-09","USD 14.34 USD 17.60","Sales 621"
"[SET][2CD SET] CIX - EP Album Vol.3 [HELLO Chapter 3. Hello, Strange Time] (Hello Ver. + Strange Time Ver.)","Release 2020-07-10","(Expected) Date of stock 2020-08-31","USD 27.45 USD 35.54","Sales 134"
"GreatGuys - Mini Album Vol.3 [We're Not Alone_Chapter2:You&Me]","Release 2020-07-09","(Expected) Date of stock 2020-09-15","USD 12.49 USD 15.84","Sales 57"
"DONGKIZ - Single Album Vol.1 [Y.O.U] (TWINS Ver.)","Release 2020-07-08","(Expected) Date of stock 2020-07-07","USD 11.35 USD 14.52","Sales 47"
"DONGKIZ - Single Album Vol.1 [Y.O.U] (YOUTH Ver.)","Release 2020-07-08","(Expected) Date of stock 2020-07-07","USD 11.35 USD 14.52","Sales 56"
"KIM SOO CHAN - Mini Album Vol.1 [SooChan karaoke]","Release 2020-07-07","(Expected) Date of stock 2020-07-06","USD 10.30 USD 12.93","Sales 10"
"Red Velvet : IRENE & SEULGI - Mini Album Vol.1 [Monster] (Middle Note Ver.)","Release 2020-07-07","(Expected) Date of stock 2020-09-16","USD 16.81 USD 20.94","Sales 19,115"
"Red Velvet : IRENE & SEULGI - Mini Album Vol.1 [Monster] (Top Note Ver.)","Release 2020-07-07","(Expected) Date of stock 2020-09-16","USD 16.81 USD 20.94","Sales 20,097"
"SF9 - Mini Album Vol.8 [9loryUS] (Random Ver.)","Release 2020-07-07","(Expected) Date of stock 2020-09-01","USD 15.57 USD 19.36","Sales 299"
"[SET][2CD SET] SF9 - Mini Album Vol.8 [9loryUS] (GOLDNE CHASER Ver. + BLACK CHASER Ver.)","Release 2020-07-07","(Expected) Date of stock 2020-07-06","USD 31.14 USD 38.71","Sales 468"
"Soul Mechanic O.S.T - KBS2 Drama (Teack list : HOPPIPOLLA Ha Hyun Sang, APINK)","Release 2020-07-07","(Expected) Date of stock 2020-07-08","USD 12.93 USD 16.28","Sales 7"
"Mystic Pop-up Bar O.S.T - JTBC Drama (BTOB : Yook Sung Jae)","Release 2020-07-04","(Expected) Date of stock 2020-09-11","USD 14.34 USD 17.60","Sales 126"
"Seventeen - Mini Album Vol.7 [Heng : garae] (HANA Ver.)","Release 2020-07-03","(Expected) Date of stock 2020-08-04","USD 12.76 USD 16.28","Sales 111,108"
"Seventeen - Mini Album Vol.7 [Heng : garae] (NET Ver.)","Release 2020-07-03","(Expected) Date of stock 2020-07-31","USD 12.76 USD 16.28","Sales 113,867"
"(Out Of Stock) [PHOTOBOOK] MOON BYUL - ONTACT PHOTOBOOK -IN","Release 2020-07-03","(Expected) Date of stock 2020-07-09","USD 26.39","Sales 2,700"
"LEE JIN HYUK - Mini [Splash!] (iii ver.)","Release 2020-07-02","(Expected) Date of stock 2020-07-10","USD 15.57 USD 19.36","Sales 853"
"LEE JIN HYUK - Mini [Splash!] (ooo ver.)","Release 2020-07-02","(Expected) Date of stock 2020-07-10","USD 15.57 USD 19.36","Sales 915"
"VERIVERY - Mini Album Vol.4 [FACE YOU] (OFFICIAL Ver.)","Release 2020-07-02","(Expected) Date of stock 2020-08-01","USD 12.67 USD 16.28","Sales 946"
"Hwa sa - Mini Album Vol.1 [María] (Random Ver.)","Release 2020-06-30","(Expected) Date of stock 2020-09-21","USD 15.57 USD 19.36","Sales 3,861"
"WOODZ - Mini Album Vol.1 [EQUAL] (COSMIC Ver.)","Release 2020-06-30","(Expected) Date of stock 2020-08-19","USD 13.55 USD 17.60","Sales 33,175"
"[DVD] Apink - 2020 Apink 6th Concert DVD [Welcome to PINK WORLD]","Release 2020-06-30","(Expected) Date of stock 2020-06-29","USD 34.84","Sales 357"
"AB6IX - EP Album Vol.2 [VIVID] (D Ver.)","Release 2020-06-29","(Expected) Date of stock 2020-08-24","USD 15.57 USD 20.24","Sales 7,541"
"AB6IX - EP Album Vol.2 [VIVID] (I Ver.)","Release 2020-06-29","(Expected) Date of stock 2020-07-23","USD 15.57 USD 20.24","Sales 7,557"
"AB6IX - EP Album Vol.2 [VIVID] (V Ver.)","Release 2020-06-29","(Expected) Date of stock 2020-09-21","USD 15.57 USD 20.24","Sales 9,207"
"BAEK HYUN - Mini Album Vol.2 [Delight] (Chemistry Ver.)","Release 2020-06-29","(Expected) Date of stock 2020-09-21","USD 14.34 USD 17.68","Sales 93,965"
"BAEK HYUN - Mini Album Vol.2 [Delight] (Kit Ver.) (Cinnamon Ver.)","Release 2020-06-26","(Expected) Date of stock 2020-07-10","USD 16.81 USD 20.94","Sales 6,596"
"pH-1 - Mini Album [X]","Release 2020-06-25","(Expected) Date of stock 2020-06-30","USD 13.20 USD 16.98","Sales 1,815"
"A Man and A Woma O.S.T - Audio Cinema (Kit Album)","Release 2020-06-25","(Expected) Date of stock 2020-08-11","USD 21.82 USD 29.03","Sales 1"
"Bandage - Album Vol.1 [432]","Release 2020-06-23","(Expected) Date of stock 2020-06-22","USD 12.93 USD 16.28","Sales 214"
"Seventeen - Mini Album Vol.7 [Heng : garae] (Kit Album) *Due to the built-in battery of the Khino album, only 1 item could be ordered and shipped at a time.","Release 2020-06-23","(Expected) Date of stock 2020-08-10","USD 18.65 USD 23.75","Sales 3,071"
"TAEYEON - TAEYEON Concert -The UNSEEN KiT Video *Due to the built-in battery of the Khino album, only 1 item could be ordered and shipped at a time.","Release 2020-06-23","(Expected) Date of stock 2020-06-23","USD 37.12","Sales 4,867"
"AWEEK - Single Album Vol.2 [BETTER TODAY]","Release 2020-06-19","(Expected) Date of stock 2020-08-24","USD 11.62 USD 14.52","Sales 23"
"BURSTERS - Album Vol.2 [Once and for All] (Vinyl (Double LP))","Release 2020-06-19","(Expected) Date of stock 2020-06-18","USD 68.62 USD 85.50","Sales 1"
"WayV - Album Vol.1 [Awaken The World] (Random Ver.)","Release 2020-06-19","(Expected) Date of stock 2020-09-14","USD 15.57 USD 19.36","Sales 8,000"
"Weki Meki - Mini Album Vol.3 [HIDE and SEEK] (HIDE Ver.) *Ktown4u Pre-order benefit : Unrevealed Photocard 1set","Release 2020-06-19","(Expected) Date of stock 2020-09-21","USD 12.32 USD 15.31","Sales 1,324"
"Weki Meki - Mini Album Vol.3 [HIDE and SEEK] (SEEK Ver.) *Ktown4u Pre-order benefit : Unrevealed Photocard 1set","Release 2020-06-19","(Expected) Date of stock 2020-09-14","USD 12.32 USD 15.31","Sales 1,378"
"Alive Funk - Album Vol.1 [Alive Funk]","Release 2020-06-18","(Expected) Date of stock 2020-06-23","USD 11.62 USD 14.52","Sales 2"
"D1CE - Mini Album Vol.2 [DRAW YOU : REMEMBER ME]","Release 2020-06-18","(Expected) Date of stock 2020-09-15","USD 12.32 USD 15.31","Sales 150"
"IZ*ONE - Mini Album Vol.3 [Oneiric Diary] (3D Ver.)","Release 2020-06-18","(Expected) Date of stock 2020-09-21","USD 16.54 USD 20.94","Sales 22,084"
"IZ*ONE - Mini Album Vol.3 [Oneiric Diary] (Kit Album) *Due to the built-in battery of the Khino album, only 1 item could be ordered and shipped at a time.","Release 2020-06-18","(Expected) Date of stock 2020-06-17","USD 18.65 USD 23.75","Sales 3,377"
"NATURE - Single Album Vol.3 [NATURE WORLD CODE: M]","Release 2020-06-18","(Expected) Date of stock 2020-09-14","USD 11.44 USD 14.52","Sales 832"
"Stray Kids - Album Vol.1 [GO生] (Standard Edition) (Random Ver.)","Release 2020-06-18","(Expected) Date of stock 2020-09-16","USD 15.57 USD 19.36","Sales 6,977"
"[Brazil] [Wanna be friends with NATURE] NATURE - Single Album Vol.3 [NATURE WORLD CODE: M]","Release 2020-06-18","(Expected) Date of stock 2020-11-20","USD 11.44 USD 14.52",""
"[Chile] [Wanna be friends with NATURE] NATURE - Single Album Vol.3 [NATURE WORLD CODE: M]","Release 2020-06-18","(Expected) Date of stock 2020-11-20","USD 11.44 USD 14.52",""
"[France] [Wanna be friends with NATURE] NATURE - Single Album Vol.3 [NATURE WORLD CODE: M]","Release 2020-06-18","(Expected) Date of stock 2020-11-20","USD 11.44 USD 14.52",""
"[Germany] [Wanna be friends with NATURE] NATURE - Single Album Vol.3 [NATURE WORLD CODE: M]","Release 2020-06-18","(Expected) Date of stock 2020-11-20","USD 11.44 USD 14.52",""
"[Japan] [Wanna be friends with NATURE] NATURE - Single Album Vol.3 [NATURE WORLD CODE: M]","Release 2020-06-18","(Expected) Date of stock 2020-11-20","USD 11.44 USD 14.52",""
"[Mexico] [Wanna be friends with NATURE] NATURE - Single Album Vol.3 [NATURE WORLD CODE: M]","Release 2020-06-18","(Expected) Date of stock 2020-11-20","USD 11.44 USD 14.52",""
"[Netherlands] [Wanna be friends with NATURE] NATURE - Single Album Vol.3 [NATURE WORLD CODE: M]","Release 2020-06-18","(Expected) Date of stock 2020-11-20","USD 11.44 USD 14.52",""
"[Peru] [Wanna be friends with NATURE] NATURE - Single Album Vol.3 [NATURE WORLD CODE: M]","Release 2020-06-18","(Expected) Date of stock 2020-11-20","USD 11.44 USD 14.52",""
"[Poland] [Wanna be friends with NATURE] NATURE - Single Album Vol.3 [NATURE WORLD CODE: M]","Release 2020-06-18","(Expected) Date of stock 2020-11-20","USD 11.44 USD 14.52",""
"[Portugal] [Wanna be friends with NATURE] NATURE - Single Album Vol.3 [NATURE WORLD CODE: M]","Release 2020-06-18","(Expected) Date of stock 2020-11-20","USD 11.44 USD 14.52",""
"[Romania] [Wanna be friends with NATURE] NATURE - Single Album Vol.3 [NATURE WORLD CODE: M]","Release 2020-06-18","(Expected) Date of stock 2020-11-20","USD 11.44 USD 14.52",""
"[Spain] [Wanna be friends with NATURE] NATURE - Single Album Vol.3 [NATURE WORLD CODE: M]","Release 2020-06-18","(Expected) Date of stock 2020-11-20","USD 11.44 USD 14.52",""
"[U.S.A] [Wanna be friends with NATURE] NATURE - Single Album Vol.3 [NATURE WORLD CODE: M]","Release 2020-06-18","(Expected) Date of stock 2020-11-20","USD 11.44 USD 14.52",""
"[UK] [Wanna be friends with NATURE] NATURE - Single Album Vol.3 [NATURE WORLD CODE: M]","Release 2020-06-18","(Expected) Date of stock 2020-11-20","USD 11.44 USD 14.52",""
"C JAMM - Mini Album Vol.1 [KEUNG]","Release 2020-06-17","(Expected) Date of stock 2020-09-11","USD 14.34 USD 17.60","Sales 136"
"When My Love Blooms O.S.T - tvN Drama","Release 2020-06-17","(Expected) Date of stock 2020-09-14","USD 13.90 USD 17.60","Sales 222"
"IZ*ONE - Mini Album Vol.3 [Oneiric Diary] (Diary Ver.)","Release 2020-06-16","(Expected) Date of stock 2020-06-29","USD 13.99 USD 17.68","Sales 30,979"
"IZ*ONE - Mini Album Vol.3 [Oneiric Diary] (Fantasy Ver.)","Release 2020-06-16","(Expected) Date of stock 2020-09-21","USD 13.99 USD 17.68","Sales 29,588"
"Lee Sun Hee - Album Vol.16 [Regards]","Release 2020-06-16","(Expected) Date of stock 2020-06-15","USD 11.62 USD 14.52","Sales 553"
"Blase - EP Album Vol.2 [WAGWAN]","Release 2020-06-15","(Expected) Date of stock 2020-06-15","USD 13.29 USD 17.68","Sales 15"
"The King: Eternal Monarch O.S.T - SBS Drama (Track list : Hwa sa, Ha sung woon, Zico & Wendy)","Release 2020-06-13","(Expected) Date of stock 2020-09-10","USD 21.64 USD 27.36","Sales 577"
"MOMOLAND - Special Album [Starry Night]","Release 2020-06-12","(Expected) Date of stock 2020-06-11","USD 9.15 USD 11.26","Sales 817"
"DIA - Mini Album Vol.6 [Flower 4 Seasons] (Flower Ver.)","Release 2020-06-11","(Expected) Date of stock 2020-06-10","USD 15.57 USD 19.36","Sales 340"
"DIA - Mini Album Vol.6 [Flower 4 Seasons] (Seasons Ver.)","Release 2020-06-11","(Expected) Date of stock 2020-06-10","USD 15.57 USD 19.36","Sales 292"
"N.Flying - Mini Album Vol.7 [So, 通 (소통)] (Random Ver.)","Release 2020-06-11","(Expected) Date of stock 2020-07-15","USD 14.96 USD 18.56","Sales 353"
"[SET][2CD SET] N.Flying - Mini Album Vol.7 [So, 通 (소통)] (COMMUNICATION Ver. + MIS-COMMUNICATION Ver.)","Release 2020-06-11","(Expected) Date of stock 2020-06-10","USD 29.91 USD 37.12","Sales 473"
"Hospital Playlist O.S..T - tvN Drama (Kit Album) (99 Ver.) *Due to the built-in battery of the Khino album, only 1 item could be ordered and shipped at a time.","Release 2020-06-11","(Expected) Date of stock 2020-06-19","USD 25.43 USD 32.25","Sales 889"
"Hospital Playlist O.S..T - tvN Drama (Kit Album) (Doctor Ver.) *Due to the built-in battery of the Khino album, only 1 item could be ordered and shipped at a time.","Release 2020-06-11","(Expected) Date of stock 2020-09-21","USD 25.43 USD 32.25","Sales 1,408"
"E'LAST - Mini Album Vol.1 [Day Dream] (Day Ver.)","Release 2020-06-10","(Expected) Date of stock 2020-09-21","USD 12.93 USD 16.28","Sales 365"
"WJSN (Cosmic Girls) - Mini Album [Neverland] (Random Ver.) (second press)","Release 2020-06-10","(Expected) Date of stock 2020-09-07","USD 12.93 USD 16.28","Sales 922"
"[SET][3CD SET] WJSN (Cosmic Girls) - Mini Album [Neverland] (VER.Ⅰ + VER.Ⅱ + VER.Ⅲ)","Release 2020-06-10","(Expected) Date of stock 2020-06-17","USD 38.80 USD 48.82","Sales 934"
"[Blu-Ray] AB6IX - AB6IX 1ST WORLD TOUR <6IXENSE> IN SEOUL BLU-RAY","Release 2020-06-10","(Expected) Date of stock 2020-09-21","USD 48.38","Sales 617"
"HA HYUN SANG - EP Album Vol.2 [The Edge]","Release 2020-06-09","(Expected) Date of stock 2020-06-08","USD 12.58 USD 16.28","Sales 496"
"Ha Sung Woon - Mini Album Vol.3 [Twilight Zone] (Black Ver.)","Release 2020-06-09","(Expected) Date of stock 2020-06-24","USD 15.57 USD 19.36","Sales 3,821"
"Ha Sung Woon - Mini Album Vol.3 [Twilight Zone] (White Ver.)","Release 2020-06-09","(Expected) Date of stock 2020-06-24","USD 15.57 USD 19.36","Sales 3,823"
"Leellamarz , TOIL - Album [TOYSTORY2]","Release 2020-06-09","(Expected) Date of stock 2020-09-11","USD 11.88 USD 15.22","Sales 103"
"SEO EUNKWANG - Mini Album Vol.1 [FoRest : Entrance] (Light Ver.)","Release 2020-06-09","(Expected) Date of stock 2020-08-20","USD 12.93 USD 16.28","Sales 504"
"SEO EUNKWANG - Mini Album Vol.1 [FoRest : Entrance] (Silver Ver.)","Release 2020-06-09","(Expected) Date of stock 2020-09-11","USD 12.93 USD 16.28","Sales 454"
"Super Junior K.R.Y. - Mini Album Vol.1 [When We Were Us] (Random Ver.)","Release 2020-06-09","(Expected) Date of stock 2020-09-08","USD 14.34 USD 17.68","Sales 3,061"
"[Blu-Ray] TWICE - TWICE WORLD TOUR 2019 'TWICELIGHTS' IN SEOUL BLU-RAY","Release 2020-06-05","(Expected) Date of stock 2020-09-21","USD 48.38","Sales 859"
"South Carnival - EP Album [Cloud9]","Release 2020-06-02","(Expected) Date of stock 2020-06-01","USD 8.71 USD 11.26","Sales 1"
"TWICE - Mini Album Vol.9 [MORE & MORE] (Random Ver.)","Release 2020-06-02","(Expected) Date of stock 2020-09-14","USD 14.34 USD 17.60","Sales 14,050"
"Moon Byul - Repackage Mini Album Vol.2 [門OON : Repackage] (Kit Album) *Due to the built-in battery of the Khino album, only 1 item could be ordered and shipped at a time.","Release 2020-05-29","(Expected) Date of stock 2020-09-10","USD 16.81 USD 20.94","Sales 4,381"
"SECRET NUMBER - Single Album Vol.1 [Who Dis?]","Release 2020-05-28","(Expected) Date of stock 2020-09-14","USD 11.62 USD 14.52","Sales 1,256"
"ONEWE - 1st Full Album [ONE]","Release 2020-05-27","(Expected) Date of stock 2020-09-15","USD 15.05 USD 19.36","Sales 1,418"
"[SET][4CD SET] MONSTA X - Mini Album [FANTASIA X] (Ver.1 + Ver.2 + Ver.3 + Ver.4)","Release 2020-05-27","(Expected) Date of stock 2020-05-26","USD 51.73 USD 65.10","Sales 1,121"
"BAEK HYUN - Mini Album Vol.2 [Delight] (CINNAMON Ver.)","Release 2020-05-26","(Expected) Date of stock 2020-06-26","USD 14.34 USD 17.60","Sales 139,738"
"BAEK HYUN - Mini Album Vol.2 [Delight] (HONEY Ver.)","Release 2020-05-26","(Expected) Date of stock 2020-06-26","USD 14.34 USD 17.60","Sales 142,786"
"BAEK HYUN - Mini Album Vol.2 [Delight] (MINT Ver.)","Release 2020-05-26","(Expected) Date of stock 2020-06-26","USD 14.34 USD 17.60","Sales 139,734"
"DKB - Mini Album Vol.2 [LOVE]","Release 2020-05-26","(Expected) Date of stock 2020-09-21","USD 12.93 USD 16.28","Sales 360"
"DREAMCATCHER - Mini Album Vol.3 [Alone In The City] (Kit Album) *Due to the built-in battery inside, only 1 item can be shipped per package","Release 2020-05-26","(Expected) Date of stock 2020-05-25","USD 18.39 USD 23.75","Sales 357"
"DREAMCATCHER - Mini Album Vol.4 [The End of Nightmare] (Kit Album) *Due to the built-in battery inside, only 1 item can be shipped per package","Release 2020-05-26","(Expected) Date of stock 2020-09-14","USD 18.39 USD 23.75","Sales 461"
"KEEMBO - Single Album [SCANDALOUS]","Release 2020-05-26","(Expected) Date of stock 2020-05-25","USD 6.16 USD 8.01","Sales 67"
"KIM WOO SEOK - Solo Album Vol.1 [GREED] (K Ver.)","Release 2020-05-26","(Expected) Date of stock 2020-09-09","USD 15.57 USD 19.36","Sales 1,074"
"KIM WOO SEOK - Solo Album Vol.1 [GREED] (W Ver.)","Release 2020-05-26","(Expected) Date of stock 2020-09-21","USD 15.57 USD 19.36","Sales 1,130"
"Park Ji Hoon - Mini Album Vol.3 [The W] (Blanc Ver.)","Release 2020-05-26","(Expected) Date of stock 2020-06-12","USD 13.73 USD 17.60","Sales 4,066"
"Park Ji Hoon - Mini Album Vol.3 [The W] (Noir Ver.)","Release 2020-05-26","(Expected) Date of stock 2020-07-29","USD 13.73 USD 17.60","Sales 4,394"
"The World of the married O.S.T - JTBC Drama","Release 2020-05-26","(Expected) Date of stock 2020-06-22","USD 14.34 USD 17.60","Sales 158"
"OH MY GIRL - Japan Album Vol.3 [Eternally]","Release 2020-05-23","(Expected) Date of stock 2020-05-26","USD 15.57 USD 19.36","Sales 60"
"OnlyOneOf - Album [Produced by [ ] Part 1] (BLACK Ver.)","Release 2020-05-22","(Expected) Date of stock 2020-06-30","USD 10.03 USD 12.93","Sales 216"
"OnlyOneOf - Album [Produced by [ ] Part 1] (WHITE Ver.)","Release 2020-05-22","(Expected) Date of stock 2020-09-10","USD 10.03 USD 12.93","Sales 270"
"KEN - Mini Album Vol.1 [Greeting]","Release 2020-05-21","(Expected) Date of stock 2020-05-20","USD 10.65 USD 13.73","Sales 325"
"Ryu Su Jeong - Mini Album Vol.1 [Tiger Eyes]","Release 2020-05-21","(Expected) Date of stock 2020-05-27","USD 12.06 USD 14.96","Sales 570"
"NCT 127 - Repackage Album Vol.2 [NCT #127 Neo Zone: The Final Round] (1ST PLATER Ver.)","Release 2020-05-20","(Expected) Date of stock 2020-08-11","USD 15.57 USD 19.36","Sales 62,151"
