"selection1_item_names","selection1_release_date","selection1_date_of_stock","selection1_price","selection1_sales"
"[SET][2CD SET] BDC - EP Album [THE INTERSECTION : BELIEF] (MOON ver. + UNIVERSE ver.)","Release 2020-09-24","(Expected) Date of stock 2020-09-23","USD 31.14 USD 38.71","Sales 28"
"[DVD] BTS - WORLD TOUR [LOVE YOURSELF : SPEAK YOURSELF] LONDON DVD (*Order can be canceled cause of early out of stock)","Release 2020-09-24","(Expected) Date of stock 2020-10-01","USD 36.95",""
"Cignature - EP Album Voi.1 [Listen and Speak]","Release 2020-09-23","(Expected) Date of stock 2020-09-22","USD 13.20 USD 16.98","Sales 126"
"Kim Ho Joong - Album Vol.1 [My Family]","Release 2020-09-23","(Expected) Date of stock 2020-09-16","USD 15.57 USD 19.36","Sales 10"
"(Out Of Stock) TXT(TOMORROW X TOGETHER) - The 2nd Photobook H:OUR (*Order can be canceled cause of early out of stock)","Release 2020-09-23","(Expected) Date of stock 2020-09-30","USD 33.43",""
"THE BOYZ - Mini Album Vol.5 [CHASE] (CHASE ver.)","Release 2020-09-22","(Expected) Date of stock 2020-09-21","USD 14.96 USD 18.56","Sales 3,645"
"THE BOYZ - Mini Album Vol.5 [CHASE] (STEALER ver.)","Release 2020-09-22","(Expected) Date of stock 2020-09-21","USD 14.96 USD 18.56","Sales 3,657"
"THE BOYZ - Mini Album Vol.5 [CHASE] (TRICK ver.)","Release 2020-09-22","(Expected) Date of stock 2020-09-21","USD 14.96 USD 18.56","Sales 3,577"
"[Ktown4u Event] EVERGLOW - Mini Album Vol.2 [-77.82X-78.29] (-77.82X Ver.)","Release 2020-09-22","(Expected) Date of stock 2020-09-21","USD 12.67 USD 16.28","Sales 670"
"[Ktown4u Event] EVERGLOW - Mini Album Vol.2 [-77.82X-78.29] (-78.29 Ver.)","Release 2020-09-22","(Expected) Date of stock 2020-09-21","USD 12.67 USD 16.28","Sales 604"
"[Ktown4u Event] TREASURE - 2nd SINGLE ALBUM [THE FIRST STEP : CHAPTER TWO] (BLACK ver.)","Release 2020-09-22","(Expected) Date of stock 2020-09-22","USD 12.06 USD 16.28","Sales 28,746"
"[Ktown4u Event] TREASURE - 2nd SINGLE ALBUM [THE FIRST STEP : CHAPTER TWO] (WHITE ver.)","Release 2020-09-22","(Expected) Date of stock 2020-09-22","USD 12.06 USD 16.28","Sales 29,371"
"[SET][3CD SET] THE BOYZ - Mini Album Vol.5 [CHASE] (CHASE ver. + STEALER ver. + TRICK ver.)","Release 2020-09-22","(Expected) Date of stock 2020-09-21","USD 44.87 USD 55.69","Sales 553"
"Fall vacation - LP Album Vol.4 [The world is a handkerchief] (Limited Edition)","Release 2020-09-18","(Expected) Date of stock 2020-10-08","USD 38.71","Sales 2"
"KNK - Mini Album Vol.3 [KNK AIRLINE] (OFF Ver.)","Release 2020-09-18","(Expected) Date of stock 2020-09-17","USD 14.34 USD 17.60","Sales 159"
"KNK - Mini Album Vol.3 [KNK AIRLINE] (ON Ver.)","Release 2020-09-18","(Expected) Date of stock 2020-09-17","USD 14.34 USD 17.60","Sales 164"
"The BLANK Shop - Album Vol.1 [Tailor]","Release 2020-09-18","(Expected) Date of stock 2020-09-17","USD 12.93 USD 16.28","Sales 2"
"NCT 127 - Beyond LIVE BROCHURE NCT 127 [Beyond the Origin]","Release 2020-09-18","(Expected) Date of stock 2020-09-18","USD 21.12","Sales 9,450"
"NCT DREAM - Beyond LIVE BROCHURE NCT DREAM [Beyond the Dream Show]","Release 2020-09-18","(Expected) Date of stock 2020-09-18","USD 21.12","Sales 11,966"
"(Out Of Stock) WayV - PHOTO STORY BOOK [Bad Alive]","Release 2020-09-18","(Expected) Date of stock 2020-09-18","USD 22.87","Sales 4,000"
"fromis_9 - mini Aibum Vol.3 [My Little Society] (My account ver.) (first press)","Release 2020-09-17","(Expected) Date of stock 2020-09-16","USD 13.81 USD 17.60","Sales 2,355"
"fromis_9 - mini Aibum Vol.3 [My Little Society] (My society ver.) (first press)","Release 2020-09-17","(Expected) Date of stock 2020-09-16","USD 13.81 USD 17.60","Sales 2,359"
"fromis_9 - Mini Album Vol.3 [My Little Society] (Kit Album)","Release 2020-09-17","(Expected) Date of stock 2020-09-16","USD 18.39 USD 23.75","Sales 935"
"[SET][2CD SET] fromis_9 - Mini Album Vol.3 [My Little Society] (My society Ver. + My account Ver.)","Release 2020-09-17","(Expected) Date of stock 2020-09-16","USD 27.62 USD 35.19","Sales 317"
"[SET][2CD SET] KNK - Mini Album [KNK AIRLINE] (ON Ver + OFF Ver.)","Release 2020-09-17","(Expected) Date of stock 2020-09-17","USD 28.68 USD 35.19","Sales 42"
"(Out Of Stock) [Blu-Ray] BTS - BTS MEMORIES OF 2019 Blu-Ray *Pre-order benefit gift (*Order can be canceled cause of early out of stock)","Release 2020-09-17","(Expected) Date of stock 2020-09-24","USD 81.81",""
"B.O.Y - Album [Phase Two : WE] (Harmony Ver.)","Release 2020-09-16","(Expected) Date of stock 2020-09-15","USD 13.20 USD 16.98","Sales 847"
"B.O.Y - Album [Phase Two : WE] (Synergy Ver.)","Release 2020-09-16","(Expected) Date of stock 2020-09-15","USD 13.20 USD 16.98","Sales 809"
"Fall vacation - Album Vol.4 [The world is a handkerchief]","Release 2020-09-16","(Expected) Date of stock 2020-09-19","USD 14.96 USD 19.36","Sales 1"
"VAV - Mini Album Vol.6 [MADE FOR TWO]","Release 2020-09-16","(Expected) Date of stock 2020-09-15","USD 9.94 USD 12.93","Sales 940"
"[SET][2CD SET] B.O.Y - Album [Phase Two : WE] (Harmony Ver. + Synergy Ver.)","Release 2020-09-16","(Expected) Date of stock 2020-09-15","USD 26.39 USD 33.96","Sales 30"
"Kim Sa wol - Album Vol.3 [Heaven]","Release 2020-09-15","(Expected) Date of stock 2020-09-14","USD 13.73 USD 17.60",""
"Luli Lee - Album [Let Me Into This Moment]","Release 2020-09-15","(Expected) Date of stock 2020-09-14","USD 8.80 USD 11.26","Sales 26"
"Moonbin&Sanha(ASTRO) - Mini Album Vol.1 [IN-OUT] (FADE IN VER.)","Release 2020-09-15","(Expected) Date of stock 2020-09-15","USD 14.34 USD 17.77","Sales 5,251"
"Moonbin&Sanha(ASTRO) - Mini Album Vol.1 [IN-OUT] (FADE OUT VER.)","Release 2020-09-15","(Expected) Date of stock 2020-09-15","USD 14.34 USD 17.77","Sales 5,502"
"Stray Kids - Repackage Album Vol.1 [IN生 (IN LIFE)] (STANDARD Ver.) (Random Ver.)","Release 2020-09-15","(Expected) Date of stock 2020-09-16","USD 15.57 USD 19.36","Sales 12,071"
"[SET][2CD SET] Moonbin&Sanha(ASTRO) - Mini Album Vol.1 [IN-OUT] (FADE IN VER + FADE OUT VER)","Release 2020-09-15","(Expected) Date of stock 2020-09-14","USD 28.68 USD 35.54","Sales 316"
"D-Hack - Album [D-SEKAI]","Release 2020-09-14","(Expected) Date of stock 2020-09-14","USD 12.49 USD 16.28","Sales 1"
"Super Junior D&E - Mini Album Vol.4 [BAD BLOOD] (Kit Album)","Release 2020-09-14","(Expected) Date of stock 2020-09-21","USD 16.81 USD 20.94","Sales 7,467"
"Mia - Album Vol.1 [Not a fairytale]","Release 2020-09-11","(Expected) Date of stock 2020-09-11","USD 12.67 USD 16.28","Sales 10"
"(Out Of Stock) DAY6 (Even of Day) - STORY BOOK [The Story of US: The Arcane Land]","Release 2020-09-11","(Expected) Date of stock 2020-09-21","USD 30.79","Sales 158"
"AB6IX : KIM DONG HYUN - Kit Album [그 여름의 전설] (Audio Book)","Release 2020-09-09","(Expected) Date of stock 2020-09-19","USD 15.84","Sales 71"
"CHUNG HA - Kit Album [환한 밤] (Audio Book)","Release 2020-09-09","(Expected) Date of stock 2020-09-10","USD 15.84","Sales 26"
"DAY6 : YoungK - Kit Album [페이퍼 컷] (Audio Book)","Release 2020-09-09","(Expected) Date of stock 2020-09-19","USD 15.84","Sales 72"
"HA SUNG WOON - Kit Album [라면은 멋있다] Special Peckage(Audio Book)","Release 2020-09-09","(Expected) Date of stock 2020-09-19","USD 21.99","Sales 4"
"INFINITE: Nam Woo-hyun and Lee Sung-jong - Kit Album [영화처럼 세이셀] [바람의 독서법] (Audio Book)","Release 2020-09-09","(Expected) Date of stock 2020-09-19","USD 15.84","Sales 5"
"Jeong Se Woon - Kit Album [너만 모르는 엔딩] (Audio Book)","Release 2020-09-09","(Expected) Date of stock 2020-09-19","USD 15.84","Sales 3"
"RAVI - Kit Album [청기와주유소 씨름 기담] (Audio Book)","Release 2020-09-09","(Expected) Date of stock 2020-09-10","USD 15.84","Sales 7"
"Roh Tae Hyun - Kit Album [옥수수 뺑소니] (Audio Book)","Release 2020-09-09","(Expected) Date of stock 2020-09-09","USD 15.84",""
"VIXX : HYUK- Kit Album [이상한 용손 이야기] (Audio Book)","Release 2020-09-09","(Expected) Date of stock 2020-09-10","USD 15.84","Sales 7"
"Weki Meki : Choi Yoo Jung - Kit Album [고양이의 날] (Audio Book)","Release 2020-09-09","(Expected) Date of stock 2020-09-19","USD 15.84","Sales 29"
"Weki Meki : Ji Su Yeon - Kit Album [꿈을 지키는 카메라] (Audio Book)","Release 2020-09-09","(Expected) Date of stock 2020-09-19","USD 15.84","Sales 6"
"Weki Meki : Kim Do Yeon - Kit Album [림로드] (Audio Book)","Release 2020-09-09","(Expected) Date of stock 2020-09-10","USD 15.84","Sales 5"
"7O'CLOCK - Project Album Vol.5 [HIGHWAY]","Release 2020-09-08","(Expected) Date of stock 2020-09-21","USD 12.93 USD 16.28","Sales 32"
"Kim Nam Joo - Single Album Vol.1 [Bird]","Release 2020-09-08","(Expected) Date of stock 2020-09-21","USD 11.00 USD 13.73","Sales 724"
"Soyeah - Mini Album Vol.2 [So Beautiful]","Release 2020-09-08","(Expected) Date of stock 2020-09-07","USD 11.26 USD 14.52","Sales 1"
"YooA(OH MY GIRL) - Album [Bon Voyage]","Release 2020-09-08","(Expected) Date of stock 2020-09-14","USD 13.02 USD 16.28","Sales 5,749"
"Did we love each other? O.S.T - JTBC Drama (Track list : Yuju (Gfriend))","Release 2020-09-08","(Expected) Date of stock 2020-09-07","USD 13.73 USD 17.60","Sales 69"
"Jang Woo Hyuk - Album [HE(Don’t wanna be alone)] (Cassette Tape)","Release 2020-09-07","(Expected) Date of stock 2020-09-07","USD 10.30 USD 12.93","Sales 2,834"
"Jang Woo Hyuk - Album [HE(Don’t wanna be alone)] (CD)","Release 2020-09-07","(Expected) Date of stock 2020-09-16","USD 12.93 USD 16.28","Sales 9,371"
"Jang Woo Hyuk - Album [HE(Don’t wanna be alone)] (LP)","Release 2020-09-07","(Expected) Date of stock 2020-09-07","USD 25.87 USD 32.29","Sales 2,644"
"TAEMIN - Album Vol.3 [Never Gonna Dance Again : Act 1] (Random Ver.)","Release 2020-09-07","(Expected) Date of stock 2020-09-18","USD 14.34 USD 17.60","Sales 25,138"
"WONHO - Mini Album Vol.1 [LOVE SYNONYM #1. Right for me] (Random Ver.) (second press)","Release 2020-09-05","(Expected) Date of stock 2020-09-12","USD 13.11 USD 16.28","Sales 25,838"
"Super Junior D&E - Mini Album Vol.4 [BAD BLOOD] (Ramdom Ver.) *Different versions will be sent in case of purchasing 3 or more","Release 2020-09-04","(Expected) Date of stock 2020-09-18","USD 14.34 USD 17.60","Sales 7,763"
"CLC - Single Album [HELICOPTER]","Release 2020-09-03","(Expected) Date of stock 2020-09-21","USD 12.93 USD 16.28","Sales 6,415"
"(Out Of Stock) DEEPFLOW - Album Vol.4 [FOUNDER] Vinyl Limited Edition","Release 2020-09-03","(Expected) Date of stock 2020-09-02","USD 37.83 USD 48.47","Sales 5"
"LUNARSOLAR - Single Album Vol.1 [SOLAR : flare]","Release 2020-09-03","(Expected) Date of stock 2020-09-14","USD 9.94 USD 12.93","Sales 270"
"A.C.E - Album [HJZM : The Butterfly Phantasy]","Release 2020-09-02","(Expected) Date of stock 2020-09-15","USD 14.34 USD 17.77","Sales 3,865"
"Lovelyz - Mini Album Vol.7 [Unforgettable] (A VER)","Release 2020-09-02","(Expected) Date of stock 2020-09-10","USD 12.67 USD 15.84","Sales 1,609"
"Lovelyz - Mini Album Vol.7 [Unforgettable] (B VER)","Release 2020-09-02","(Expected) Date of stock 2020-09-10","USD 12.67 USD 15.84","Sales 1,570"
"DAMYE - Album [The Sandwich Artist]","Release 2020-09-01","(Expected) Date of stock 2020-08-31","USD 11.44 USD 14.52",""
"DAY6 - Mini Album Vol.1 [The Book of Us : Gluon – Nothing can tear us apart] (first press)","Release 2020-09-01","(Expected) Date of stock 2020-09-21","USD 11.62 USD 14.52","Sales 11,349"
"DAY6 - Mini Album Vol.1 [The Book of Us : Gluon – Nothing can tear us apart] (Second press)","Release 2020-09-01","(Expected) Date of stock 2020-09-11","USD 11.62 USD 14.52","Sales 163"
"LEE EUN SANG - Mini Album Vol.1 [Beautiful Scar] (Beautiful Ver.)","Release 2020-09-01","(Expected) Date of stock 2020-09-21","USD 15.57 USD 19.36","Sales 1,642"
